YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
1992,Wimbledon,Andre Agassi,Goran Ivanisevic,American,,,right,Grass / Outdoor,265000
1992,French Open,Jim Courier,Petr Korda,American,,,right,Clay,2680000
1992,Australian Open,Jim Courier,Stefan Edberg,American,,,right,Rebound Ace,360000
1991,U.S. Open,Stefan Edberg,Jim Courier,Swedish,,,right,DecoTurf - outdoors,400000
1991,Wimbledon,Michael Stich,Boris Becker,German,,,right,Grass / Outdoor,240000
1991,French Open,Jim Courier,Andre Agassi,American,,,right,Clay,2448000
1991,Australian Open,Boris Becker,Ivan Lendl,German,,,right,Rebound Ace,320000
1990,U.S. Open,Pete Sampras,Andre Agassi,American,,,right,DecoTurf - outdoors,350000
1990,Wimbledon,Stefan Edberg,Boris Becker,Swedish,,,right,Grass / Outdoor,230000
1990,French Open,Andres Gomez,Andre Agassi,Ecuadorian,,,left,Clay,2226100
1990,Australian Open,Ivan Lendl,Stefan Edberg,Czechoslovakia,,,right,Rebound Ace,266667
1989,U.S. Open,Boris Becker,Ivan Lendl,German,,,right,DecoTurf - outdoors,300000
1989,Wimbledon,Boris Becker,Stefan Edberg,German,,,right,Grass / Outdoor,190000
1989,French Open,Michael Chang,Stefan Edberg,American,,,right,Clay,1791390
1989,Australian Open,Ivan Lendl,Miloslav Mecir,Czechoslovakia,,,right,Rebound Ace,140000
1988,U.S. Open,Mats Wilander,Ivan Lendl,Swedish,,,right,DecoTurf - outdoors,275000
1988,Wimbledon,Stefan Edberg,Boris Becker,Swedish,,,right,Grass / Outdoor,165000
1988,French Open,Mats Wilander,Henri Leconte,Swedish,,,right,Clay,1500240
1988,Australian Open,Mats Wilander,Pat Cash,Swedish,,,right,Rebound Ace,105000
1987,U.S. Open,Ivan Lendl,Mats Wilander,Czechoslovakia,,,right,DecoTurf - outdoors,250000
1987,Wimbledon,Pat Cash,Ivan Lendl,Australian,,,right,Grass / Outdoor,155000
1987,French Open,Ivan Lendl,Mats Wilander,Czechoslovakia,,,right,Clay,1303800
1987,Australian Open,Stefan Edberg,Pat Cash,Swedish,,,right,Grass,103875
1986,U.S. Open,Ivan Lendl,Miloslav Mecir,Czechoslovakia,,,right,DecoTurf - outdoors,210000
1986,Wimbledon,Boris Becker,Ivan Lendl,German,,,right,Grass / Outdoor,140000
1986,French Open,Ivan Lendl,Mikael Pernfors,Czechoslovakia,,,right,Clay,1397250
1985,Australian Open,Stefan Edberg,Mats Wilander,Swedish,,,right,Grass,100000
1985,U.S. Open,Ivan Lendl,John McEnroe,Czechoslovakia,,,right,DecoTurf - outdoors,187500
1985,Wimbledon,Boris Becker,Kevin Curren,German,,,right,Grass / Outdoor,130000
1985,French Open,Mats Wilander,Ivan Lendl,Swedish,,,right,Clay,1338200
1984,Australian Open,Mats Wilander,Kevin Curren,Swedish,,,right,Grass,100000
1984,U.S. Open,John McEnroe,Ivan Lendl,American,,,left,DecoTurf - outdoors,160000
